| appname | description | site | download | version |
| goverlay | GUI for configuring Vulkan/OpenGL overlays | https://archlinux.org/packages/extra/x86_64/goverlay/ | oci://ghcr.io/pkgforge/pkgcache/goverlay/runimage/cachyos/stable/goverlay:1.3_3-x86_64-linux | 1.3_3 |
| gpt4all | Free-to-use, locally running, privacy-aware chatbot (Git) | https://aur.archlinux.org/packages/gpt4all-chat-git | oci://ghcr.io/pkgforge/pkgcache/gpt4all/runimage/cachyos/git/gpt4all:3.3.0.r22.g767189d-x86_64-linux | 3.3.0.r22.g767189d |
| gptme | AI assistant in your terminal | https://pypi.org/project/gptme | oci://ghcr.io/pkgforge/pkgcache/gptme/archive/sharun/pypi/gptme:0.27.0-x86_64-linux | 0.27.0 |
| gsan | Extract subdomains from SSL certificates in HTTPS sites | https://pypi.org/project/gsan | oci://ghcr.io/pkgforge/pkgcache/getaltname/archive/sharun/pypi/gsan:5.0.0-x86_64-linux | 5.0.0 |
| gtts-cli | Create an mp3 file from spoken text via the Google TTS API | https://pypi.org/project/gtts-cli | oci://ghcr.io/pkgforge/pkgcache/gtts-cli/archive/sharun/pypi/gtts-cli:2.5.4-x86_64-linux | 2.5.4 |
| guarddog | CLI tool to Identify malicious PyPI and npm packages | https://pypi.org/project/guarddog | oci://ghcr.io/pkgforge/pkgcache/guarddog/archive/sharun/pypi/guarddog:2.6.0-x86_64-linux | 2.6.0 |
| gzdoom | Feature centric port for all Doom engine games | https://aur.archlinux.org/packages/gzdoom | oci://ghcr.io/pkgforge/pkgcache/gzdoom/runimage/cachyos/stable/gzdoom:4.14.2-x86_64-linux | 4.14.2 |
| haguichi | Graphical frontend for Hamachi | https://aur.archlinux.org/packages/haguichi | oci://ghcr.io/pkgforge/pkgcache/haguichi/runimage/cachyos/stable/haguichi:1.5.2-x86_64-linux | 1.5.2 |
| helix | Fast modal terminal-based text editor | https://github.com/helix-editor/helix | oci://ghcr.io/pkgforge/pkgcache/helix/nixappimage/nixpkgs/stable/helix:25.01.1-x86_64-linux | 25.01.1 |
| httpie | Modern, user-friendly command-line HTTP client for the API era | https://pypi.org/project/httpie | oci://ghcr.io/pkgforge/pkgcache/httpie/archive/sharun/pypi/httpie:3.2.4-x86_64-linux | 3.2.4 |
| huggingface-cli | The official Python client for the Huggingface Hub | https://github.com/huggingface/huggingface_hub | oci://ghcr.io/pkgforge/pkgcache/huggingface-cli/archive/sharun/source/huggingface-cli:HEAD-2aafd15-250528T190941-x86_64-linux | HEAD-2aafd15-250528T190941 |
| hwinfo | Hardware information tool | https://github.com/openSUSE/hwinfo | oci://ghcr.io/pkgforge/pkgcache/hwinfo/archive/sharun/alpine/hwinfo:24.0-x86_64-linux | 24.0 |
| image-bootstrap | Generate Bootable Virtual Machine Images and write them to a Block Device | https://pypi.org/project/image-bootstrap | oci://ghcr.io/pkgforge/pkgcache/image-bootstrap/archive/sharun/pypi/image-bootstrap:2.0.5-x86_64-linux | 2.0.5 |
| inkscape | FOSS Vector Graphics Editor | https://gitlab.alpinelinux.org/alpine/aports/-/tree/master/community/inkscape | oci://ghcr.io/pkgforge/pkgcache/inkscape/runimage/alpine/stable/inkscape:1.4-x86_64-linux | 1.4 |
| interlace | Easily turn single threaded CLIs into a fast, multi-threaded application with CIDR and glob support | https://github.com/codingo/Interlace | oci://ghcr.io/pkgforge/pkgcache/interlace/archive/sharun/source/interlace:HEAD-b9eb99f-250419T170737-x86_64-linux | HEAD-b9eb99f-250419T170737 |
| isd | TUI to interactively work with systemd units | https://pypi.org/project/isd | oci://ghcr.io/pkgforge/pkgcache/isd/archive/sharun/pypi/isd:0.5.1-x86_64-linux | 0.5.1 |
| isort | Sort Python imports automatically | https://pypi.org/project/isort | oci://ghcr.io/pkgforge/pkgcache/isort/archive/sharun/pypi/isort:6.0.1-x86_64-linux | 6.0.1 |
| jc | Convert the output of command-line tools to JSON | https://pypi.org/project/jc | oci://ghcr.io/pkgforge/pkgcache/jc/archive/sharun/pypi/jc:1.25.5-x86_64-linux | 1.25.5 |
| jless | Command-line pager for JSON data | https://github.com/PaulJuliusMartinez/jless | oci://ghcr.io/pkgforge/pkgcache/jless/appimage/ppkg/stable/jless:0.9.0-x86_64-linux | 0.9.0 |
| jrnl | Command line journal application that stores your journal in a plain text file | https://pypi.org/project/jrnl | oci://ghcr.io/pkgforge/pkgcache/jrnl/archive/sharun/pypi/jrnl:4.2.1-x86_64-linux | 4.2.1 |
| kdenlive | FOSS video editor, based on MLT Framework and KDE Frameworks | https://gitlab.alpinelinux.org/alpine/aports/-/tree/master/community/kdenlive | oci://ghcr.io/pkgforge/pkgcache/kdenlive/runimage/alpine/stable/kdenlive:25.04.0-x86_64-linux | 25.04.0 |
